symbols,start_at,end_at,time_before,time_after
USD,2019-01-01,2019-01-02,2020-06-06 18:06:14.956314,2020-06-06 18:06:15.063273
"USD,CAD",2019-01-01,2019-01-02,2020-06-06 18:06:15.063273,2020-06-06 18:06:15.171106
"USD,CAD,HKD,ISK",2019-01-01,2019-01-02,2020-06-06 18:06:15.171106,2020-06-06 18:06:15.276340
"USD,CAD,HKD,ISK,PHP,DKK,HUF,CZK",2019-01-01,2019-01-02,2020-06-06 18:06:15.276340,2020-06-06 18:06:15.376617
"USD,CAD,HKD,ISK,PHP,DKK,HUF,CZK,AUD,RON,SEK,IDR,INR,BRL,RUB,HRK",2019-01-01,2019-01-02,2020-06-06 18:06:15.376617,2020-06-06 18:06:15.477701
USD,2019-01-01,2019-02-01,2020-06-06 18:06:15.477701,2020-06-06 18:06:15.585706
"USD,CAD",2019-01-01,2019-02-01,2020-06-06 18:06:15.585706,2020-06-06 18:06:15.696885
"USD,CAD,HKD,ISK",2019-01-01,2019-02-01,2020-06-06 18:06:15.696885,2020-06-06 18:06:15.827718
"USD,CAD,HKD,ISK,PHP,DKK,HUF,CZK",2019-01-01,2019-02-01,2020-06-06 18:06:15.827718,2020-06-06 18:06:15.965440
"USD,CAD,HKD,ISK,PHP,DKK,HUF,CZK,AUD,RON,SEK,IDR,INR,BRL,RUB,HRK",2019-01-01,2019-02-01,2020-06-06 18:06:15.965440,2020-06-06 18:06:16.065946
USD,2019-01-01,2020-01-01,2020-06-06 18:06:16.065946,2020-06-06 18:06:16.187962
"USD,CAD",2019-01-01,2020-01-01,2020-06-06 18:06:16.187962,2020-06-06 18:06:16.323236
"USD,CAD,HKD,ISK",2019-01-01,2020-01-01,2020-06-06 18:06:16.323236,2020-06-06 18:06:16.431813
"USD,CAD,HKD,ISK,PHP,DKK,HUF,CZK",2019-01-01,2020-01-01,2020-06-06 18:06:16.431813,2020-06-06 18:06:16.548391
"USD,CAD,HKD,ISK,PHP,DKK,HUF,CZK,AUD,RON,SEK,IDR,INR,BRL,RUB,HRK",2019-01-01,2020-01-01,2020-06-06 18:06:16.548391,2020-06-06 18:06:16.664670
